indicator,corridor,split,window,scenario,speed,h,tol_bps,n_events,n_scored,hit_rate,base_rate,lift,lift_ci_lo,lift_ci_hi,hit_mean,base_mean,lift_mean,benefit_fwd_bps,benefit_random_day_bps,benefit_excess_bps,benefit_excess_ci_lo,benefit_excess_ci_hi,benefit_fwd_ci_lo,benefit_fwd_ci_hi,benefit_fwd_block_ci_lo,benefit_fwd_block_ci_hi,benefit_sym_bps,vs_wait5_bps,freq_per_week,clump_share_series,clump_cv_gaps,longest_gap_days,empty_month_share,hit_mean_trunc,base_mean_trunc,n_scored_trunc,lift_mean_trunc,benefit_excess_trunc
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,4,10.0,34,34,0.5882352941176471,0.3466666666666667,1.6968325791855203,1.1877828054298643,2.205882352941176,0.7352941176470589,0.5386666666666666,1.3650262085032034,22.32034825876188,-0.3403121625466073,22.660660421308485,8.232290000712906,37.24230013755364,7.891977838166299,36.90198797500703,9.054778674286817,34.08644341394872,38.3365829385578,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,4,25.0,34,34,0.6470588235294118,0.40444444444444444,1.5998707175177764,1.2362637362637363,1.9634776987718163,0.8529411764705882,0.6542222222222223,1.3037484015345266,22.32034825876188,-0.3403121625466073,22.660660421308485,8.232290000712906,37.24230013755364,7.891977838166299,36.90198797500703,9.054778674286817,34.08644341394872,38.3365829385578,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,4,50.0,34,34,0.7352941176470589,0.5128888888888888,1.4336323784279745,1.1469059027423796,1.7203588541135693,0.9411764705882353,0.7911111111111111,1.1896893588896233,22.32034825876188,-0.3403121625466073,22.660660421308485,8.232290000712906,37.24230013755364,7.891977838166299,36.90198797500703,9.054778674286817,34.08644341394872,38.3365829385578,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,9,0.0,34,34,0.23529411764705882,0.184,1.278772378516624,0.47953964194373405,2.078005115089514,0.6470588235294118,0.4871111111111111,1.328359811077716,32.28444125913084,-1.078797886467722,33.363239145598556,15.380884971180095,50.33352908246112,14.302087084712372,49.2547311959934,18.91677604793755,45.442131675185415,35.67917146280514,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,9,10.0,34,34,0.38235294117647056,0.2222222222222222,1.7205882352941175,0.9264705882352942,2.5147058823529416,0.7352941176470589,0.5351111111111111,1.3740961500879423,32.28444125913084,-1.078797886467722,33.363239145598556,15.380884971180095,50.33352908246112,14.302087084712372,49.2547311959934,18.91677604793755,45.442131675185415,35.67917146280514,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,9,25.0,34,34,0.5294117647058824,0.26844444444444443,1.9721464744838333,1.3147643163225557,2.6295286326451115,0.8235294117647058,0.6391111111111111,1.288554364722245,32.28444125913084,-1.078797886467722,33.363239145598556,15.380884971180095,50.33352908246112,14.302087084712372,49.2547311959934,18.91677604793755,45.442131675185415,35.67917146280514,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,9,50.0,34,34,0.5882352941176471,0.3768888888888889,1.5607658157602664,1.0925360710321865,1.9509572697003332,0.9117647058823529,0.76,1.19969040247678,32.28444125913084,-1.078797886467722,33.363239145598556,15.380884971180095,50.33352908246112,14.302087084712372,49.2547311959934,18.91677604793755,45.442131675185415,35.67917146280514,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,45,0.0,34,34,0.11764705882352941,0.08266666666666667,1.4231499051233396,0.3557874762808349,2.846299810246679,0.5588235294117647,0.47555555555555556,1.175096206706982,19.159463775696995,-8.16541418829902,27.324877963996016,-11.101551145289386,66.33125751859293,-19.266965333588406,58.16584333029391,-11.766826380980183,49.282794280774596,30.994709392083323,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,45,10.0,34,34,0.14705882352941177,0.0951111111111111,1.546179219351292,0.3092358438702584,2.7831225948323257,0.5588235294117647,0.5031111111111111,1.110735813760133,19.159463775696995,-8.16541418829902,27.324877963996016,-11.101551145289386,66.33125751859293,-19.266965333588406,58.16584333029391,-11.766826380980183,49.282794280774596,30.994709392083323,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,45,25.0,34,34,0.17647058823529413,0.11555555555555555,1.5271493212669685,0.5090497737556561,2.799773755656109,0.5882352941176471,0.5573333333333333,1.0554461018857304,19.159463775696995,-8.16541418829902,27.324877963996016,-11.101551145289386,66.33125751859293,-19.266965333588406,58.16584333029391,-11.766826380980183,49.282794280774596,30.994709392083323,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,45,50.0,34,34,0.2647058823529412,0.1831111111111111,1.4456025128498,0.6424900057110222,2.2487150199885777,0.7352941176470589,0.6346666666666667,1.1585516559565003,19.159463775696995,-8.16541418829902,27.324877963996016,-11.101551145289386,66.33125751859293,-19.266965333588406,58.16584333029391,-11.766826380980183,49.282794280774596,30.994709392083323,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,180,0.0,34,34,0.08823529411764706,0.044444444444444446,1.9852941176470589,0.0,4.63235294117647,0.47058823529411764,0.4613333333333333,1.0200612036722203,-21.240092329413258,-38.124279454022144,16.884187124608886,-60.8587145651171,88.57372665840933,-98.98299401913924,50.44944720438719,-150.43578501182395,88.66669158712746,29.671294730322956,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,180,10.0,34,34,0.11764705882352941,0.05511111111111111,2.1347248576850095,0.5336812144212524,4.269449715370019,0.47058823529411764,0.4702222222222222,1.0007783831869232,-21.240092329413258,-38.124279454022144,16.884187124608886,-60.8587145651171,88.57372665840933,-98.98299401913924,50.44944720438719,-150.43578501182395,88.66669158712746,29.671294730322956,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,180,25.0,34,34,0.11764705882352941,0.072,1.6339869281045754,0.40849673202614384,3.2679738562091507,0.47058823529411764,0.488,0.9643201542912246,-21.240092329413258,-38.124279454022144,16.884187124608886,-60.8587145651171,88.57372665840933,-98.98299401913924,50.44944720438719,-150.43578501182395,88.66669158712746,29.671294730322956,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,0.4482758620689655,0.4624338624338624,29.0,0.9693837291880376,15.476455114818478
momentum,KZT,5,2025-06…2025-11,BUY_NOW,fast,180,50.0,34,34,0.20588235294117646,0.11911111111111111,1.7284899034240562,0.7407813871817384,2.9631255487269534,0.5294117647058824,0.5164444444444445,1.0251088387162093,-21.240092329413258,-38.124279454022144,16.884187124608886,-60.8587145651171,88.57372665840933,-98.98299401913924,50.44944720438719,-150.43578501182395,88.66669158712746,29.671294730322956,41.81992309559783,1.3005464480874318,0.0,0.1655761792026649,7.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,1,0.0,25,25,0.52,0.5546666666666666,0.9375000000000001,0.576923076923077,1.2980769230769231,0.52,0.5546666666666666,0.9375000000000001,12.787966783377591,0.005658518533929408,12.782308264843662,-9.944599002922743,37.53641498134503,-9.938940484388814,37.54207349987896,-7.558669918737192,34.90252748681986,10.362993402409026,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,1,10.0,25,25,0.76,0.6506666666666666,1.168032786885246,0.9221311475409837,1.4139344262295084,0.76,0.6506666666666666,1.168032786885246,12.787966783377591,0.005658518533929408,12.782308264843662,-9.944599002922743,37.53641498134503,-9.938940484388814,37.54207349987896,-7.558669918737192,34.90252748681986,10.362993402409026,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,1,25.0,25,25,0.76,0.7004444444444444,1.08502538071066,0.8565989847715736,1.3134517766497462,0.76,0.7004444444444444,1.08502538071066,12.787966783377591,0.005658518533929408,12.782308264843662,-9.944599002922743,37.53641498134503,-9.938940484388814,37.54207349987896,-7.558669918737192,34.90252748681986,10.362993402409026,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,1,50.0,25,25,0.84,0.7653333333333333,1.0975609756097562,0.8885017421602789,1.254355400696864,0.84,0.7653333333333333,1.0975609756097562,12.787966783377591,0.005658518533929408,12.782308264843662,-9.944599002922743,37.53641498134503,-9.938940484388814,37.54207349987896,-7.558669918737192,34.90252748681986,10.362993402409026,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,4,0.0,25,25,0.24,0.296,0.8108108108108109,0.2702702702702703,1.3513513513513515,0.48,0.4702222222222222,1.0207939508506616,-9.276197545609532,-0.3403121625466073,-8.935885383062924,-28.775985870601634,10.508179844456611,-29.11629803314824,10.167867681910003,-18.9513046588059,3.8309367730476893,-0.08721140708112272,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,4,10.0,25,25,0.32,0.3466666666666667,0.923076923076923,0.4615384615384615,1.5,0.48,0.5386666666666666,0.8910891089108911,-9.276197545609532,-0.3403121625466073,-8.935885383062924,-28.775985870601634,10.508179844456611,-29.11629803314824,10.167867681910003,-18.9513046588059,3.8309367730476893,-0.08721140708112272,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,4,25.0,25,25,0.36,0.40444444444444444,0.8901098901098901,0.39560439560439564,1.2857142857142858,0.6,0.6542222222222223,0.9171195652173912,-9.276197545609532,-0.3403121625466073,-8.935885383062924,-28.775985870601634,10.508179844456611,-29.11629803314824,10.167867681910003,-18.9513046588059,3.8309367730476893,-0.08721140708112272,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,4,50.0,25,25,0.44,0.5128888888888888,0.8578856152512999,0.46793760831889086,1.247833622183709,0.8,0.7911111111111111,1.0112359550561798,-9.276197545609532,-0.3403121625466073,-8.935885383062924,-28.775985870601634,10.508179844456611,-29.11629803314824,10.167867681910003,-18.9513046588059,3.8309367730476893,-0.08721140708112272,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,9,0.0,25,25,0.04,0.184,0.2173913043478261,0.0,0.6521739130434783,0.48,0.4871111111111111,0.9854014598540146,-4.870459890481581,-1.078797886467722,-3.791662004013859,-22.58674864800902,14.39649686398452,-23.665546534476743,13.317698977516798,-13.91505468492542,3.962732531951316,0.7339346557696311,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,9,10.0,25,25,0.08,0.2222222222222222,0.36000000000000004,0.0,0.9000000000000001,0.48,0.5351111111111111,0.8970099667774086,-4.870459890481581,-1.078797886467722,-3.791662004013859,-22.58674864800902,14.39649686398452,-23.665546534476743,13.317698977516798,-13.91505468492542,3.962732531951316,0.7339346557696311,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,9,25.0,25,25,0.16,0.26844444444444443,0.5960264900662252,0.1490066225165563,1.1920529801324504,0.68,0.6391111111111111,1.0639777468706537,-4.870459890481581,-1.078797886467722,-3.791662004013859,-22.58674864800902,14.39649686398452,-23.665546534476743,13.317698977516798,-13.91505468492542,3.962732531951316,0.7339346557696311,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,9,50.0,25,25,0.28,0.3768888888888889,0.7429245283018868,0.31839622641509435,1.2735849056603774,0.84,0.76,1.1052631578947367,-4.870459890481581,-1.078797886467722,-3.791662004013859,-22.58674864800902,14.39649686398452,-23.665546534476743,13.317698977516798,-13.91505468492542,3.962732531951316,0.7339346557696311,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,45,0.0,25,25,0.0,0.08266666666666667,0.0,0.0,0.0,0.48,0.47555555555555556,1.0093457943925233,-6.2632563371682455,-8.16541418829902,1.9021578511307737,-39.882755039450394,48.691405882578806,-48.04816922774941,40.52599169427979,-39.22129438300623,20.965290571974144,3.6049772356864445,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,45,10.0,25,25,0.0,0.0951111111111111,0.0,0.0,0.0,0.56,0.5031111111111111,1.1130742049469966,-6.2632563371682455,-8.16541418829902,1.9021578511307737,-39.882755039450394,48.691405882578806,-48.04816922774941,40.52599169427979,-39.22129438300623,20.965290571974144,3.6049772356864445,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,45,25.0,25,25,0.0,0.11555555555555555,0.0,0.0,0.0,0.6,0.5573333333333333,1.076555023923445,-6.2632563371682455,-8.16541418829902,1.9021578511307737,-39.882755039450394,48.691405882578806,-48.04816922774941,40.52599169427979,-39.22129438300623,20.965290571974144,3.6049772356864445,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,45,50.0,25,25,0.08,0.1831111111111111,0.4368932038834952,0.0,1.0922330097087378,0.72,0.6346666666666667,1.134453781512605,-6.2632563371682455,-8.16541418829902,1.9021578511307737,-39.882755039450394,48.691405882578806,-48.04816922774941,40.52599169427979,-39.22129438300623,20.965290571974144,3.6049772356864445,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,180,0.0,25,25,0.0,0.044444444444444446,0.0,0.0,0.0,0.48,0.4613333333333333,1.0404624277456647,-36.25675768930398,-38.124279454022144,1.8675217647181626,-83.15621185897135,86.52460343072494,-121.28049131299349,48.4003239767028,-180.71763123453374,87.19263923692489,5.560233908819787,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,180,10.0,25,25,0.0,0.05511111111111111,0.0,0.0,0.0,0.48,0.4702222222222222,1.0207939508506616,-36.25675768930398,-38.124279454022144,1.8675217647181626,-83.15621185897135,86.52460343072494,-121.28049131299349,48.4003239767028,-180.71763123453374,87.19263923692489,5.560233908819787,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,180,25.0,25,25,0.0,0.072,0.0,0.0,0.0,0.48,0.488,0.9836065573770492,-36.25675768930398,-38.124279454022144,1.8675217647181626,-83.15621185897135,86.52460343072494,-121.28049131299349,48.4003239767028,-180.71763123453374,87.19263923692489,5.560233908819787,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,0.47619047619047616,0.4624338624338624,21.0,1.0297482837528604,6.601534588416193
level,KZT,5,2025-06…2025-11,BUY_NOW,medium,180,50.0,25,25,0.08,0.11911111111111111,0.6716417910447762,0.0,1.6791044776119404,0.52,0.5164444444444445,1.0068846815834767,-36.25675768930398,-38.124279454022144,1.8675217647181626,-83.15621185897135,86.52460343072494,-121.28049131299349,48.4003239767028,-180.71763123453374,87.19263923692489,5.560233908819787,-4.042158851662676,0.9562841530054645,0.0,0.0,9.0,0.0,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,1,0.0,14,14,0.5714285714285714,0.5546666666666666,1.0302197802197801,0.5151098901098901,1.4165521978021978,0.5714285714285714,0.5546666666666666,1.0302197802197801,-4.895841842107136,0.005658518533929408,-4.901500360641065,-63.24493969142022,48.830394251194534,-63.239281172886294,48.83605276972846,-33.24971125856835,38.225121470326194,-11.086389615777176,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,1,10.0,14,14,0.5714285714285714,0.5546666666666666,1.0302197802197801,0.5151098901098901,1.4165521978021978,0.5714285714285714,0.5546666666666666,1.0302197802197801,-4.895841842107136,0.005658518533929408,-4.901500360641065,-63.24493969142022,48.830394251194534,-63.239281172886294,48.83605276972846,-33.24971125856835,38.225121470326194,-11.086389615777176,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,1,25.0,14,14,0.5714285714285714,0.5546666666666666,1.0302197802197801,0.5151098901098901,1.4165521978021978,0.5714285714285714,0.5546666666666666,1.0302197802197801,-4.895841842107136,0.005658518533929408,-4.901500360641065,-63.24493969142022,48.830394251194534,-63.239281172886294,48.83605276972846,-33.24971125856835,38.225121470326194,-11.086389615777176,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,1,50.0,14,14,0.5714285714285714,0.5546666666666666,1.0302197802197801,0.5151098901098901,1.4165521978021978,0.5714285714285714,0.5546666666666666,1.0302197802197801,-4.895841842107136,0.005658518533929408,-4.901500360641065,-63.24493969142022,48.830394251194534,-63.239281172886294,48.83605276972846,-33.24971125856835,38.225121470326194,-11.086389615777176,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,4,0.0,14,14,0.6428571428571429,0.5022222222222222,1.2800252844500632,0.7111251580278128,1.7067003792667508,0.6428571428571429,0.5022222222222222,1.2800252844500632,8.571945106716614,-0.3403121625466073,8.912257269263222,-39.60908700178837,52.53068469630125,-39.94939916433498,52.19037253375464,-29.45337986924794,58.91931171785196,-4.056507999812039,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,4,10.0,14,14,0.6428571428571429,0.5022222222222222,1.2800252844500632,0.7111251580278128,1.7067003792667508,0.6428571428571429,0.5022222222222222,1.2800252844500632,8.571945106716614,-0.3403121625466073,8.912257269263222,-39.60908700178837,52.53068469630125,-39.94939916433498,52.19037253375464,-29.45337986924794,58.91931171785196,-4.056507999812039,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,4,25.0,14,14,0.6428571428571429,0.5022222222222222,1.2800252844500632,0.7111251580278128,1.7067003792667508,0.6428571428571429,0.5022222222222222,1.2800252844500632,8.571945106716614,-0.3403121625466073,8.912257269263222,-39.60908700178837,52.53068469630125,-39.94939916433498,52.19037253375464,-29.45337986924794,58.91931171785196,-4.056507999812039,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,4,50.0,14,14,0.6428571428571429,0.5022222222222222,1.2800252844500632,0.7111251580278128,1.7067003792667508,0.6428571428571429,0.5022222222222222,1.2800252844500632,8.571945106716614,-0.3403121625466073,8.912257269263222,-39.60908700178837,52.53068469630125,-39.94939916433498,52.19037253375464,-29.45337986924794,58.91931171785196,-4.056507999812039,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,9,0.0,14,14,0.5714285714285714,0.49333333333333335,1.1583011583011582,0.5791505791505791,1.7374517374517373,0.5714285714285714,0.49333333333333335,1.1583011583011582,9.295939164753069,-1.078797886467722,10.37473705122079,-45.98257258858276,59.9055237905459,-47.06137047505048,58.82672590407818,-54.16969295756211,74.10799277127309,5.936308088448994,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,9,10.0,14,14,0.5714285714285714,0.49333333333333335,1.1583011583011582,0.5791505791505791,1.7374517374517373,0.5714285714285714,0.49333333333333335,1.1583011583011582,9.295939164753069,-1.078797886467722,10.37473705122079,-45.98257258858276,59.9055237905459,-47.06137047505048,58.82672590407818,-54.16969295756211,74.10799277127309,5.936308088448994,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,9,25.0,14,14,0.5714285714285714,0.49333333333333335,1.1583011583011582,0.5791505791505791,1.7374517374517373,0.5714285714285714,0.49333333333333335,1.1583011583011582,9.295939164753069,-1.078797886467722,10.37473705122079,-45.98257258858276,59.9055237905459,-47.06137047505048,58.82672590407818,-54.16969295756211,74.10799277127309,5.936308088448994,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,9,50.0,14,14,0.5714285714285714,0.49333333333333335,1.1583011583011582,0.5791505791505791,1.7374517374517373,0.5714285714285714,0.49333333333333335,1.1583011583011582,9.295939164753069,-1.078797886467722,10.37473705122079,-45.98257258858276,59.9055237905459,-47.06137047505048,58.82672590407818,-54.16969295756211,74.10799277127309,5.936308088448994,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,45,0.0,14,14,0.35714285714285715,0.43466666666666665,0.8216476774758984,0.32865907099035935,1.478965819456617,0.35714285714285715,0.43466666666666665,0.8216476774758984,-12.84023562385867,-8.16541418829902,-4.67482143555965,-73.43792364735171,60.45226032251263,-81.60333783565073,52.28684613421361,-62.12103101168632,38.95119959711642,1.5050375477831135,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,45,10.0,14,14,0.35714285714285715,0.43466666666666665,0.8216476774758984,0.32865907099035935,1.478965819456617,0.35714285714285715,0.43466666666666665,0.8216476774758984,-12.84023562385867,-8.16541418829902,-4.67482143555965,-73.43792364735171,60.45226032251263,-81.60333783565073,52.28684613421361,-62.12103101168632,38.95119959711642,1.5050375477831135,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,45,25.0,14,14,0.35714285714285715,0.43466666666666665,0.8216476774758984,0.32865907099035935,1.478965819456617,0.35714285714285715,0.43466666666666665,0.8216476774758984,-12.84023562385867,-8.16541418829902,-4.67482143555965,-73.43792364735171,60.45226032251263,-81.60333783565073,52.28684613421361,-62.12103101168632,38.95119959711642,1.5050375477831135,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,45,50.0,14,14,0.35714285714285715,0.43466666666666665,0.8216476774758984,0.32865907099035935,1.478965819456617,0.35714285714285715,0.43466666666666665,0.8216476774758984,-12.84023562385867,-8.16541418829902,-4.67482143555965,-73.43792364735171,60.45226032251263,-81.60333783565073,52.28684613421361,-62.12103101168632,38.95119959711642,1.5050375477831135,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,180,0.0,14,14,0.7142857142857143,0.5457777777777778,1.3087482550023266,0.9161237785016286,1.7013727315030247,0.7142857142857143,0.5457777777777778,1.3087482550023266,-2.604483363099484,-38.124279454022144,35.51979609092266,-75.88346013102031,139.43880959832796,-114.00773958504246,101.31453014430582,-158.81940764451258,100.85585455517776,51.44294776749768,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,180,10.0,14,14,0.7142857142857143,0.5457777777777778,1.3087482550023266,0.9161237785016286,1.7013727315030247,0.7142857142857143,0.5457777777777778,1.3087482550023266,-2.604483363099484,-38.124279454022144,35.51979609092266,-75.88346013102031,139.43880959832796,-114.00773958504246,101.31453014430582,-158.81940764451258,100.85585455517776,51.44294776749768,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,180,25.0,14,14,0.7142857142857143,0.5457777777777778,1.3087482550023266,0.9161237785016286,1.7013727315030247,0.7142857142857143,0.5457777777777778,1.3087482550023266,-2.604483363099484,-38.124279454022144,35.51979609092266,-75.88346013102031,139.43880959832796,-114.00773958504246,101.31453014430582,-158.81940764451258,100.85585455517776,51.44294776749768,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,0.7272727272727273,0.5291005291005291,11.0,1.3745454545454547,62.27473115113303
reversal,KZT,5,2025-06…2025-11,WINDOW_CLOSING,slow,180,50.0,14,14,0.7142857142857143,0.5457777777777778,1.3087482550023266,0.9161237785016286,1.7013727315030247,0.7142857142857143,0.5457777777777778,1.3087482550023266,-2.604483363099484,-38.124279454022144,35.51979609092266,-75.88346013102031,139.43880959832796,-114.00773958504246,101.31453014430582,-158.81940764451258,100.85585455517776,51.44294776749768,26.916677613556697,0.5355191256830601,0.0,1.2826842668314293,69.0,0.16666666666666666,,,,,
dip_vs_trend,KZT,5,2025-06…2025-11,BUY_NOW,medium,1,0.0,0,0,,0.5546666666666666,,,,,0.5546666666666666,,,0.005658518533929408,,,,,,,,,,0.0,,,179.0,1.0,,,,,
dip_vs_trend,KZT,5,2025-06…2025-11,BUY_NOW,medium,1,10.0,0,0,,0.6506666666666666,,,,,0.6506666666666666,,,0.005658518533929408,,,,,,,,,,0.0,,,179.0,1.0,,,,,
dip_vs_trend,KZT,5,2025-06…2025-11,BUY_NOW,medium,1,25.0,0,0,,0.7004444444444444,,,,,0.7004444444444444,,,0.005658518533929408,,,,,,,,,,0.0,,,179.0,1.0,,,,,
dip_vs_trend,KZT,5,2025-06…2025-11,BUY_NOW,medium,1,50.0,0,0,,0.7653333333333333,,,,,0.7653333333333333,,,0.005658518533929408,,,,,,,,,,0.0,,,179.0,1.0,,,,,
dip_vs_trend,KZT,5,2025-06…2025-11,BUY_NOW,medium,4,0.0,0,0,,0.296,,,,,0.4702222222222222,,,-0.3403121625466073,,,,,,,,,,0.0,,,179.0,1.0,,,,,
